iter	Passed	Remaining
0	144	57630
1	222	44297
2	293	38839
3	374	37072
4	455	35981
5	531	34925
6	596	33509
7	692	33909
8	771	33534
9	835	32582
10	890	31489
11	947	30620
12	1002	29832
13	1056	29125
14	1110	28509
15	1181	28354
16	1248	28126
17	1304	27687
18	1362	27329
19	1426	27102
20	1513	27319
21	1612	27701
22	1693	27756
23	1802	28234
24	1870	28063
25	1953	28100
26	2024	27966
27	2087	27727
28	2160	27645
29	2268	27981
30	2338	27830
31	2398	27580
32	2465	27416
33	2532	27260
34	2594	27053
35	2660	26897
36	2714	26635
37	2786	26541
38	2856	26438
39	2924	26319
40	2984	26130
41	3049	25996
42	3120	25906
43	3185	25775
44	3250	25643
45	3334	25663
46	3409	25604
47	3485	25561
48	3543	25381
49	3606	25247
50	3699	25314
51	3772	25250
52	3846	25182
53	3933	25203
54	4005	25126
55	4074	25031
56	4136	24890
57	4208	24817
58	4280	24740
59	4346	24628
60	4420	24563
61	4492	24491
62	4629	24766
63	4701	24681
64	4765	24562
65	4844	24517
66	4913	24422
67	4977	24303
68	5075	24346
69	5310	25036
70	5425	25139
71	5459	24872
72	5553	24878
73	5669	24976
74	5795	25111
75	5904	25173
76	5992	25139
77	6064	25037
78	6140	24948
79	6212	24850
80	6394	25183
81	6545	25384
82	6652	25408
83	6747	25383
84	6851	25390
85	6935	25321
86	7021	25261
87	7095	25157
88	7168	25048
89	7241	24943
90	7314	24836
91	7376	24695
92	7483	24702
93	7563	24620
94	7667	24616
95	7785	24654
96	7857	24543
97	7929	24435
98	8001	24328
99	8074	24222
100	8138	24094
101	8221	24019
102	8281	23878
103	8356	23784
104	8430	23684
105	8525	23646
106	8604	23562
107	8665	23428
108	8734	23318
109	8805	23214
110	8884	23132
111	8965	23055
112	9046	22976
113	9118	22876
114	9201	22804
115	9286	22734
116	9374	22673
117	9459	22607
118	9534	22513
119	9602	22405
120	9678	22317
121	9751	22221
122	9833	22144
123	9931	22106
124	10004	22010
125	10081	21922
126	10155	21829
127	10237	21754
128	10319	21679
129	10408	21618
130	10482	21525
131	10563	21446
132	10644	21369
133	10741	21322
134	10823	21245
135	10914	21187
136	10998	21113
137	11079	21034
138	11156	20948
139	11229	20854
140	11299	20755
141	11373	20664
142	11440	20561
143	11535	20506
144	11629	20451
145	11710	20373
146	11803	20314
147	11887	20241
148	11973	20169
149	12060	20100
150	12138	20017
151	12210	19921
152	12279	19823
153	12357	19740
154	12433	19652
155	12500	19552
156	12580	19471
157	12670	19406
158	12741	19312
159	12816	19224
160	12889	19133
161	12955	19033
162	13019	18929
163	13108	18864
164	13180	18772
165	13250	18677
166	13321	18586
167	13395	18498
168	13477	18422
169	13541	18320
170	13622	18243
171	13699	18159
172	13787	18090
173	13863	18006
174	13939	17922
175	14006	17826
176	14084	17745
177	14166	17667
178	14243	17586
179	14321	17503
180	14392	17414
181	14461	17322
182	14535	17236
183	14621	17164
184	14690	17073
185	14759	16981
186	14848	16913
187	14929	16834
188	15013	16760
189	15097	16686
190	15171	16601
191	15240	16510
192	15306	16416
193	15405	16358
194	15474	16267
195	15542	16177
196	15609	16085
197	15678	15995
198	15752	15910
199	15830	15830
200	15902	15743
201	15996	15679
202	16067	15592
203	16147	15514
204	16223	15431
205	16318	15368
206	16398	15289
207	16473	15206
208	16542	15117
209	16620	15037
210	16697	14956
211	16772	14874
212	16837	14782
213	16908	14695
214	16989	14618
215	17061	14534
216	17136	14451
217	17204	14363
218	17268	14272
219	17374	14215
220	17458	14140
221	17550	14072
222	17642	14002
223	17728	13929
224	17814	13855
225	17902	13783
226	17989	13709
227	18097	13652
228	18232	13614
229	18319	13540
230	18414	13472
231	18490	13389
232	18649	13366
233	18815	13347
234	18943	13300
235	19029	13223
236	19110	13143
237	19178	13054
238	19257	12972
239	19342	12894
240	19422	12814
241	19490	12725
242	19574	12647
243	19661	12570
244	19740	12488
245	19824	12410
246	19897	12325
247	19975	12242
248	20045	12155
249	20130	12078
250	20200	11991
251	20313	11930
252	20422	11866
253	20493	11779
254	20575	11699
255	20648	11615
256	20735	11537
257	20813	11455
258	20905	11380
